time_stamp,Long,Short,DA_price
2023-01-01 00:00:00+01:00,-209.4,-209.4,-3.61
2023-01-01 00:15:00+01:00,-23.3,-23.3,-3.61
2023-01-01 00:30:00+01:00,-25.62,-25.62,-3.61
2023-01-01 00:45:00+01:00,-40.62,-40.62,-3.61
2023-01-01 01:00:00+01:00,32.78,32.78,-1.46
2023-01-01 01:15:00+01:00,35.06,35.06,-1.46
2023-01-01 01:30:00+01:00,30.0,30.0,-1.46
2023-01-01 01:45:00+01:00,30.0,30.0,-1.46
2023-01-01 02:00:00+01:00,30.0,30.0,-1.52
2023-01-01 02:15:00+01:00,30.0,30.0,-1.52
2023-01-01 02:30:00+01:00,30.0,30.0,-1.52
2023-01-01 02:45:00+01:00,-10.46,-10.46,-1.52
2023-01-01 03:00:00+01:00,-23.07,-23.07,-5.0
2023-01-01 03:15:00+01:00,-14.19,-14.19,-5.0
2023-01-01 03:30:00+01:00,-27.69,-27.69,-5.0
2023-01-01 03:45:00+01:00,-20.19,-20.19,-5.0
2023-01-01 04:00:00+01:00,-21.47,-21.47,-4.6
2023-01-01 04:15:00+01:00,-22.27,-22.27,-4.6
2023-01-01 04:30:00+01:00,-21.18,-21.18,-4.6
2023-01-01 04:45:00+01:00,-31.62,-31.62,-4.6
2023-01-01 05:00:00+01:00,-44.67,-44.67,-4.05
2023-01-01 05:15:00+01:00,-30.93,-30.93,-4.05
2023-01-01 05:30:00+01:00,-20.66,-20.66,-4.05
2023-01-01 05:45:00+01:00,-20.64,-20.64,-4.05
2023-01-01 06:00:00+01:00,-36.91,-36.91,-3.6
2023-01-01 06:15:00+01:00,-14.85,-14.85,-3.6
2023-01-01 06:30:00+01:00,-10.62,-10.62,-3.6
2023-01-01 06:45:00+01:00,-357.5,-357.5,-3.6
2023-01-01 07:00:00+01:00,-301.67,-301.67,0.0
2023-01-01 07:15:00+01:00,-147.94,-147.94,0.0
2023-01-01 07:30:00+01:00,-59.18,-59.18,0.0
2023-01-01 07:45:00+01:00,-54.1,-54.1,0.0
2023-01-01 08:00:00+01:00,-131.81,-131.81,0.0
2023-01-01 08:15:00+01:00,-45.19,-45.19,0.0
2023-01-01 08:30:00+01:00,-27.69,-27.69,0.0
2023-01-01 08:45:00+01:00,-36.69,-36.69,0.0
2023-01-01 09:00:00+01:00,-183.89,-183.89,0.0
2023-01-01 09:15:00+01:00,-20.97,-20.97,0.0
2023-01-01 09:30:00+01:00,-10.62,-10.62,0.0
2023-01-01 09:45:00+01:00,-15.62,-15.62,0.0
2023-01-01 10:00:00+01:00,-25.62,67.06,0.99
2023-01-01 10:15:00+01:00,-25.62,-25.62,0.99
2023-01-01 10:30:00+01:00,-50.0,-50.0,0.99
2023-01-01 10:45:00+01:00,-50.0,-50.0,0.99
2023-01-01 11:00:00+01:00,-46.04,-46.04,0.58
2023-01-01 11:15:00+01:00,-207.5,-207.5,0.58
2023-01-01 11:30:00+01:00,-207.5,-207.5,0.58
2023-01-01 11:45:00+01:00,-170.0,-170.0,0.58
2023-01-01 12:00:00+01:00,-40.62,-40.62,0.04
2023-01-01 12:15:00+01:00,-25.62,-25.62,0.04
2023-01-01 12:30:00+01:00,27.32,27.32,0.04
2023-01-01 12:45:00+01:00,-60.62,-60.62,0.04
2023-01-01 13:00:00+01:00,-140.0,-140.0,0.0
2023-01-01 13:15:00+01:00,-15.62,-15.62,0.0
2023-01-01 13:30:00+01:00,-15.62,-15.62,0.0
2023-01-01 13:45:00+01:00,30.0,30.0,0.0
2023-01-01 14:00:00+01:00,-127.46,64.86,0.85
2023-01-01 14:15:00+01:00,-14.19,-14.19,0.85
2023-01-01 14:30:00+01:00,85.08,85.08,0.85
2023-01-01 14:45:00+01:00,159.38,159.38,0.85
2023-01-01 15:00:00+01:00,-5.19,-5.19,23.53
2023-01-01 15:15:00+01:00,-5.19,-5.19,23.53
2023-01-01 15:30:00+01:00,206.38,206.38,23.53
2023-01-01 15:45:00+01:00,231.38,231.38,23.53
2023-01-01 16:00:00+01:00,-6.69,-6.69,36.54
2023-01-01 16:15:00+01:00,-5.19,-5.19,36.54
2023-01-01 16:30:00+01:00,181.38,181.38,36.54
2023-01-01 16:45:00+01:00,987.77,987.77,36.54
2023-01-01 17:00:00+01:00,166.38,166.38,46.03
2023-01-01 17:15:00+01:00,34.24,34.24,46.03
2023-01-01 17:30:00+01:00,73.67,73.67,46.03
2023-01-01 17:45:00+01:00,-6.69,-6.69,46.03
2023-01-01 18:00:00+01:00,-25.54,-25.54,99.9
2023-01-01 18:15:00+01:00,-18.19,-18.19,99.9
2023-01-01 18:30:00+01:00,-42.04,-42.04,99.9
2023-01-01 18:45:00+01:00,-247.76,-247.76,99.9
2023-01-01 19:00:00+01:00,-300.0,-300.0,54.95
2023-01-01 19:15:00+01:00,-300.0,-300.0,54.95
2023-01-01 19:30:00+01:00,-300.0,-300.0,54.95
2023-01-01 19:45:00+01:00,-300.0,-300.0,54.95
2023-01-01 20:00:00+01:00,-52.54,-52.54,62.0
2023-01-01 20:15:00+01:00,-31.89,-31.89,62.0
2023-01-01 20:30:00+01:00,-247.76,-247.76,62.0
2023-01-01 20:45:00+01:00,-247.76,-247.76,62.0
2023-01-01 21:00:00+01:00,91.42,91.42,52.93
2023-01-01 21:15:00+01:00,91.42,91.42,52.93
2023-01-01 21:30:00+01:00,126.76,126.76,52.93
2023-01-01 21:45:00+01:00,138.74,138.74,52.93
2023-01-01 22:00:00+01:00,181.38,181.38,45.96
2023-01-01 22:15:00+01:00,196.0,196.0,45.96
2023-01-01 22:30:00+01:00,181.43,181.43,45.96
2023-01-01 22:45:00+01:00,166.84,166.84,45.96
2023-01-01 23:00:00+01:00,160.02,160.02,35.0
2023-01-01 23:15:00+01:00,-42.04,-42.04,35.0
2023-01-01 23:30:00+01:00,-247.76,-247.76,35.0
2023-01-01 23:45:00+01:00,-247.76,-247.76,35.0
2023-01-02 00:00:00+01:00,-700.0,-700.0,109.9
2023-01-02 00:15:00+01:00,-700.0,-700.0,109.9
2023-01-02 00:30:00+01:00,-356.26,-356.26,109.9
2023-01-02 00:45:00+01:00,-700.0,-700.0,109.9
2023-01-02 01:00:00+01:00,-67.1,-67.1,94.9
2023-01-02 01:15:00+01:00,97.01,97.01,94.9
2023-01-02 01:30:00+01:00,109.9,109.9,94.9
2023-01-02 01:45:00+01:00,154.45,154.45,94.9
2023-01-02 02:00:00+01:00,166.38,166.38,52.93
2023-01-02 02:15:00+01:00,148.73,148.73,52.93
2023-01-02 02:30:00+01:00,156.86,156.86,52.93
2023-01-02 02:45:00+01:00,-15.62,-15.62,52.93
2023-01-02 03:00:00+01:00,-15.62,-15.62,44.16
2023-01-02 03:15:00+01:00,-29.82,-29.82,44.16
2023-01-02 03:30:00+01:00,-50.0,-50.0,44.16
2023-01-02 03:45:00+01:00,-77.85,-77.85,44.16
2023-01-02 04:00:00+01:00,-113.32,-113.32,50.08
2023-01-02 04:15:00+01:00,-88.25,-88.25,50.08
2023-01-02 04:30:00+01:00,-113.32,-113.32,50.08
2023-01-02 04:45:00+01:00,-304.8,-304.8,50.08
2023-01-02 05:00:00+01:00,-700.0,-700.0,77.09
2023-01-02 05:15:00+01:00,-700.0,-700.0,77.09
2023-01-02 05:30:00+01:00,-700.0,-700.0,77.09
2023-01-02 05:45:00+01:00,-269.56,-269.56,77.09
2023-01-02 06:00:00+01:00,-700.0,-700.0,105.08
2023-01-02 06:15:00+01:00,-560.17,-560.17,105.08
2023-01-02 06:30:00+01:00,-700.0,-700.0,105.08
2023-01-02 06:45:00+01:00,-39.74,-39.74,105.08
2023-01-02 07:00:00+01:00,-15.04,-15.04,140.64
2023-01-02 07:15:00+01:00,-5.19,-5.19,140.64
2023-01-02 07:30:00+01:00,106.06,106.06,140.64
2023-01-02 07:45:00+01:00,65.05,65.05,140.64
2023-01-02 08:00:00+01:00,-40.0,-40.0,162.44
2023-01-02 08:15:00+01:00,-5.19,-5.19,162.44
2023-01-02 08:30:00+01:00,103.31,103.31,162.44
2023-01-02 08:45:00+01:00,100.31,100.31,162.44
2023-01-02 09:00:00+01:00,-14.19,-14.19,180.0
2023-01-02 09:15:00+01:00,78.68,78.68,180.0
2023-01-02 09:30:00+01:00,105.33,105.33,180.0
2023-01-02 09:45:00+01:00,148.52,148.52,180.0
2023-01-02 10:00:00+01:00,103.31,103.31,145.61
2023-01-02 10:15:00+01:00,-14.19,-14.19,145.61
2023-01-02 10:30:00+01:00,47.29,47.29,145.61
2023-01-02 10:45:00+01:00,-14.19,-14.19,145.61
2023-01-02 11:00:00+01:00,-40.62,-40.62,143.35
2023-01-02 11:15:00+01:00,-40.0,-40.0,143.35
2023-01-02 11:30:00+01:00,-40.62,-40.62,143.35
2023-01-02 11:45:00+01:00,73.92,73.92,143.35
2023-01-02 12:00:00+01:00,101.21,101.21,144.38
2023-01-02 12:15:00+01:00,136.38,136.38,144.38
2023-01-02 12:30:00+01:00,143.29,143.29,144.38
2023-01-02 12:45:00+01:00,143.29,143.29,144.38
2023-01-02 13:00:00+01:00,143.29,143.29,143.76
2023-01-02 13:15:00+01:00,143.29,143.29,143.76
2023-01-02 13:30:00+01:00,143.29,143.29,143.76
2023-01-02 13:45:00+01:00,143.29,143.29,143.76
2023-01-02 14:00:00+01:00,143.29,143.29,148.2
2023-01-02 14:15:00+01:00,143.29,143.29,148.2
2023-01-02 14:30:00+01:00,130.2,130.2,148.2
2023-01-02 14:45:00+01:00,115.2,115.2,148.2
2023-01-02 15:00:00+01:00,106.98,106.98,155.34
2023-01-02 15:15:00+01:00,143.25,143.25,155.34
2023-01-02 15:30:00+01:00,148.92,148.92,155.34
2023-01-02 15:45:00+01:00,-20.87,-20.87,155.34
2023-01-02 16:00:00+01:00,-9.69,-9.69,164.0
2023-01-02 16:15:00+01:00,118.7,118.7,164.0
2023-01-02 16:30:00+01:00,-38.59,-38.59,164.0
2023-01-02 16:45:00+01:00,102.48,102.48,164.0
2023-01-02 17:00:00+01:00,97.98,97.98,185.68
2023-01-02 17:15:00+01:00,71.38,71.38,185.68
2023-01-02 17:30:00+01:00,79.16,79.16,185.68
2023-01-02 17:45:00+01:00,86.55,86.55,185.68
2023-01-02 18:00:00+01:00,136.38,136.38,174.74
2023-01-02 18:15:00+01:00,154.54,154.54,174.74
2023-01-02 18:30:00+01:00,152.11,152.11,174.74
2023-01-02 18:45:00+01:00,152.05,152.05,174.74
2023-01-02 19:00:00+01:00,151.99,151.99,169.9
2023-01-02 19:15:00+01:00,151.99,151.99,169.9
