,hour,Ein,Eout,lbmp,charge_state,time_stamp
0,0,50.0,0.0,-3.61,200.0,2023-01-01 00:00:00+01:00
1,1,34.5775166421856,50.0,-1.46,246.097722286464,2023-01-01 01:00:00+01:00
2,2,50.0,50.0,-1.52,223.744003022342,2023-01-01 02:00:00+01:00
3,3,50.0,0.0,-5.0,215.609110854142,2023-01-01 03:00:00+01:00
4,4,50.0,0.0,-4.6,261.706833140607,2023-01-01 04:00:00+01:00
5,5,50.0,0.0,-4.05,307.804555427071,2023-01-01 05:00:00+01:00
6,6,50.0,0.0,-3.6,353.902277713536,2023-01-01 06:00:00+01:00
7,7,50.0,50.0,0.0,400.0,2023-01-01 07:00:00+01:00
8,8,50.0,50.0,0.0,391.8651078318,2023-01-01 08:00:00+01:00
9,9,50.0,27.5,0.0,383.730215663601,2023-01-01 09:00:00+01:00
10,10,0.0,50.0,0.99,400.0,2023-01-01 10:00:00+01:00
11,11,0.0,35.0,0.58,345.767385545336,2023-01-01 11:00:00+01:00
12,12,50.0,0.0,0.04,307.804555427071,2023-01-01 12:00:00+01:00
13,13,50.0,0.0,0.0,353.902277713536,2023-01-01 13:00:00+01:00
14,14,0.0,0.0,0.85,400.0,2023-01-01 14:00:00+01:00
15,15,0.0,0.0,23.53,400.0,2023-01-01 15:00:00+01:00
16,16,0.0,0.0,36.54,400.0,2023-01-01 16:00:00+01:00
17,17,0.0,0.0,46.03,400.0,2023-01-01 17:00:00+01:00
18,18,0.0,50.0,99.9,400.0,2023-01-01 18:00:00+01:00
19,19,0.0,0.0,54.95,345.767385545336,2023-01-01 19:00:00+01:00
20,20,0.0,35.0,62.0,345.767385545336,2023-01-01 20:00:00+01:00
21,21,0.0,0.0,52.93,307.804555427071,2023-01-01 21:00:00+01:00
22,22,50.0,0.0,45.96,307.804555427071,2023-01-01 22:00:00+01:00
23,23,50.0,0.0,35.0,353.902277713536,2023-01-01 23:00:00+01:00
24,24,0.0,50.0,109.9,400.0,2023-01-02 00:00:00+01:00
25,25,0.0,50.0,94.9,345.767385545336,2023-01-02 01:00:00+01:00
26,26,17.6470588235294,0.0,52.93,291.534771090672,2023-01-02 02:00:00+01:00
27,27,50.0,0.0,44.16,307.804555427071,2023-01-02 03:00:00+01:00
28,28,50.0,0.0,50.08,353.902277713536,2023-01-02 04:00:00+01:00
29,29,-0.0,0.0,77.09,400.0,2023-01-02 05:00:00+01:00
30,30,-0.0,0.0,105.08,400.0,2023-01-02 06:00:00+01:00
31,31,0.0,0.0,140.64,400.0,2023-01-02 07:00:00+01:00
32,32,0.0,50.0,162.44,400.0,2023-01-02 08:00:00+01:00
33,33,0.0,50.0,180.0,345.767385545336,2023-01-02 09:00:00+01:00
34,34,0.0,0.0,145.61,291.534771090672,2023-01-02 10:00:00+01:00
35,35,0.0,0.0,143.35,291.534771090672,2023-01-02 11:00:00+01:00
36,36,0.0,0.0,144.38,291.534771090672,2023-01-02 12:00:00+01:00
37,37,0.0,0.0,143.76,291.534771090672,2023-01-02 13:00:00+01:00
38,38,0.0,0.0,148.2,291.534771090672,2023-01-02 14:00:00+01:00
39,39,0.0,0.0,155.34,291.534771090672,2023-01-02 15:00:00+01:00
40,40,0.0,50.0,164.0,291.534771090672,2023-01-02 16:00:00+01:00
41,41,0.0,50.0,185.68,237.302156636008,2023-01-02 17:00:00+01:00
42,42,0.0,50.0,174.74,183.069542181344,2023-01-02 18:00:00+01:00
43,43,0.0,50.0,169.9,128.83692772668,2023-01-02 19:00:00+01:00
44,44,0.0,0.0,153.0,74.6043132720158,2023-01-02 20:00:00+01:00
45,45,0.0,0.0,141.67,74.6043132720158,2023-01-02 21:00:00+01:00
46,46,2.94117647058819,0.0,134.91,74.6043132720158,2023-01-02 22:00:00+01:00
47,47,50.0,0.0,124.22,77.315943994749,2023-01-02 23:00:00+01:00
48,48,50.0,0.0,130.01,123.413666281213,2023-01-03 00:00:00+01:00
49,49,50.0,0.0,120.0,169.511388567678,2023-01-03 01:00:00+01:00
50,50,50.0,0.0,118.76,215.609110854142,2023-01-03 02:00:00+01:00
51,51,50.0,0.0,115.0,261.706833140607,2023-01-03 03:00:00+01:00
52,52,50.0,0.0,113.63,307.804555427071,2023-01-03 04:00:00+01:00
53,53,50.0,0.0,116.27,353.902277713536,2023-01-03 05:00:00+01:00
54,54,0.0,0.0,138.92,400.0,2023-01-03 06:00:00+01:00
55,55,0.0,0.0,159.92,400.0,2023-01-03 07:00:00+01:00
